qid,set,kind,field,question,gold_answer,arm,model_answer,correct,route,latency_ms,cost_usd
lo0000,single,lookup,date,When was the MR. D.I.Y. (M) SDN BHD receipt for 6.20 issued?,23/03/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,831,0.0
lo0001,single,lookup,address,What is the address on the SANYU STATIONERY SHOP receipt from 24 October 2017?,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM",A · dense RAG (MiniLM),NOT_FOUND,False,,359,0.0
lo0002,single,lookup,total,How much was the receipt from GERBANG ALAF RESTAURANTS SDN BHD on 24 June 2018?,7.35,A · dense RAG (MiniLM),7.35,True,,336,0.0
lo0003,single,lookup,total,How much was the receipt from ALI BABA INTERNATIONAL SDN BHD on 19 February 2018?,23.80,A · dense RAG (MiniLM),NOT_FOUND,False,,292,0.0
lo0004,single,lookup,address,What is the address on the GARDENIA BAKERIES (KL) SDN BHD receipt from 07 August 2017?,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR.",A · dense RAG (MiniLM),NOT_FOUND,False,,443,0.0
lo0005,single,lookup,total,How much was the receipt from MR. D.I.Y. (KUCHAI) SDN BHD on 10 January 2016?,8.10,A · dense RAG (MiniLM),NOT_FOUND,False,,291,0.0
lo0006,single,lookup,address,What is the address on the KOREAN DINE SDN BHD receipt from 19 June 2018?,"NO 4, JALAN PERMAS 10/5. BANDAR BARU PERMAS JAYA, 81750 JOHOR BAHRU, JOHOR.",A · dense RAG (MiniLM),"No 4, Jalan Permas 10/5.
Bandar Baru Permas Jaya,
81750 Johor Bahru, Johor.",True,,775,0.0
lo0007,single,lookup,address,What is the address on the UNIHAKKA INTERNATIONAL SDN BHD receipt from 25 March 2018?,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",A · dense RAG (MiniLM),NOT_FOUND,False,,267,0.0
lo0008,single,lookup,total,How much was the receipt from MEI LET RESTAURANT on 12 January 2017?,59.35,A · dense RAG (MiniLM),NOT_FOUND,False,,357,0.0
lo0009,single,lookup,total,How much was the receipt from RESTORAN WAN SHENG on 05 May 2018?,7.60,A · dense RAG (MiniLM),NOT_FOUND,False,,307,0.0
lo0010,single,lookup,total,How much was the receipt from AEON CO. (M) BHD on 11 May 2018?,458.55,A · dense RAG (MiniLM),NOT_FOUND,False,,322,0.0
lo0011,single,lookup,total,How much was the receipt from YHM MID VALLEY on 15 December 2017?,21.60,A · dense RAG (MiniLM),21.60,True,,334,0.0
lo0012,single,lookup,address,What is the address on the GUARDIAN HEALTH AND BEAUTY SDN BHD receipt from 09 March 2018?,"G31 & G32, GRD FLR, IOI MALL BANDAR PUCHONG JAYA",A · dense RAG (MiniLM),"631 & G32, Grd Flr, 101 Mall",False,,533,0.0
lo0013,single,lookup,total,How much was the receipt from MR. D. I. Y. (KUCHAI) SDN BHD on 19 March 2018?,11.90,A · dense RAG (MiniLM),NOT_FOUND,False,,305,0.0
lo0014,single,lookup,total,How much was the receipt from TED HENG STATIONERY & BOOKS on 27 January 2018?,27.35,A · dense RAG (MiniLM),NOT_FOUND,False,,321,0.0
lo0015,single,lookup,total,How much was the receipt from YIN MA (M) SDN.BHD. on 19 July 2016?,14.50,A · dense RAG (MiniLM),NOT_FOUND,False,,294,0.0
lo0016,single,lookup,address,What is the address on the UNIHAKKA INTERNATIONAL SDN BHD receipt from 21 May 2018?,"2, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR",A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
lo0017,single,lookup,address,What is the address on the GARDENIA BAKERIES (KL) SDN BHD receipt from 12 September 2017?,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR.",A · dense RAG (MiniLM),"Lot 3, Jalan Pelabur 23/1,
40300 Shah Alam, Selangor.",True,,801,0.0
lo0018,single,lookup,address,What is the address on the KOH SENG HARDWARE receipt from 04 December 2017?,"NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR.",A · dense RAG (MiniLM),"NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR",True,,691,0.0
lo0019,single,lookup,date,When was the BENS INDEPENDENT GROCER SDN. BHD receipt for 133.70 issued?,09/03/2018,A · dense RAG (MiniLM),NOT_FOUND,False,,268,0.0
